Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
11,26,19.428572,30.049532,1.604758
11,27,19.036616,29.673571,2.166798
11,28,20.029621,30.363949,1.632613
11,29,20.280483,29.726696,1.029738
11,30,20.247571,30.279718,0.735888
11,31,20.892301,29.975796,2.108873
11,32,21.085739,29.557211,2.587032
11,33,21.621732,29.76759,2.513315
11,34,21.468159,29.911491,1.512621
11,35,21.357565,29.062102,2.527671
11,36,20.906445,29.895048,1.279096
11,37,19.924394,29.470818,1.619692
11,38,19.240095,29.485067,1.13956
11,39,18.909421,29.369431,1.58264
11,40,19.155686,30.22419,1.666045
12,1,21.983178,22.815046,1.960721
12,2,22.874716,24.702121,2.562272
12,3,21.985277,25.19228,1.859386
12,4,22.795486,25.928793,2.793319
12,5,22.184905,24.552233,2.823649
12,6,23.002111,25.317812,2.759207
12,7,23.288878,25.603487,2.745603
12,8,22.295194,24.461337,2.360233
12,9,24.291999,24.654773,2.101032
12,10,23.250522,25.170658,2.290197
12,11,23.852542,25.409747,1.861475
12,12,23.996569,24.803006,2.200244
12,13,24.45324,25.586335,2.182227
12,14,23.009489,25.169099,2.250422
12,15,23.837597,24.932236,2.250338
12,16,21.374645,23.292075,1.653899
12,17,22.080756,24.237,2.897594
12,18,21.448774,23.672769,2.240699
12,19,21.984307,22.957071,2.902624
12,20,22.302897,23.227988,2.846129
12,21,21.597121,23.332042,2.907002
12,22,21.657741,23.421774,2.486819
12,23,22.691626,23.210301,2.833562
12,24,22.942723,22.826772,2.228395
12,25,22.903425,23.01861,2.164766
12,26,22.605279,22.951512,1.972798
12,27,22.30345,22.65264,2.396956
12,28,21.95733,23.623304,1.769023
12,29,22.754876,22.513565,2.308925
12,30,20.3355,21.485135,1.725717
12,31,22.513018,22.679167,1.964786
12,32,23.91995,23.131634,1.97082
12,33,23.922998,22.923215,2.121954
12,34,23.588721,22.48742,2.002598
12,35,24.072686,22.890094,1.566163
12,36,21.57855,23.560805,3.28173
12,37,,,
12,38,25.021937,23.782082,1.81544
12,39,21.502908,25.180282,2.136417
12,40,23.728481,24.951287,1.072215
13,1,22.480226,18.75466,1.925647
13,2,22.390319,16.642037,1.742943
13,3,20.035359,19.33783,1.047125
13,4,23.052339,19.76759,0.831775
13,5,20.31759,20.94782,2.035106
13,6,,,
13,7,22.563914,17.651723,2.291628
13,8,22.510131,18.098625,1.983309
13,9,22.21004,17.026654,2.133152
13,10,,,
13,11,21.921963,17.088515,1.775048
13,12,22.113133,17.214097,1.737302
13,13,21.228792,18.22717,1.723282
13,14,20.722829,17.054164,2.072408
13,15,20.955834,17.12458,2.23847
13,16,22.374227,20.035989,2.010699
13,17,21.823198,20.063112,1.783105
13,18,22.629751,19.730614,2.162758
13,19,21.803836,20.086607,1.97473
13,20,21.407252,19.9644,1.932891
13,21,21.598416,19.018421,2.036702
13,22,21.514261,18.863495,1.794863
13,23,20.884281,18.75237,2.031243
13,24,22.489647,19.380073,2.164293
13,25,22.71432,20.206278,1.779588
13,26,21.885601,21.299582,1.69241
13,27,20.880592,20.693088,1.983032
13,28,20.474284,17.522402,1.336872
13,29,23.357411,20.986705,1.761897
13,30,23.44919,21.052181,1.918106
13,31,22.411969,21.240716,1.669406
13,32,22.668416,22.028771,1.557034
13,33,23.625613,21.930836,1.486884
13,34,23.45497,21.906467,1.862107
13,35,23.951552,22.345185,1.650744
13,36,23.71448,21.524515,1.800526
13,37,23.290443,20.462382,1.936214
13,38,23.053052,21.537131,2.000563
13,39,22.817516,19.646052,2.280217
13,40,23.179149,19.974848,1.847457
14,1,21.96648,21.618743,3.223338
14,2,22.977485,21.757861,3.468837
14,3,22.731876,21.685612,2.904304
14,4,,,
14,5,22.30818,20.760788,3.402004
14,6,22.37546,20.198905,3.271057
14,7,22.584877,20.676476,3.462621
14,8,21.633852,21.168429,2.832774
14,9,22.189095,21.660021,3.106583
14,10,22.437218,21.982203,2.911129
14,11,23.434927,22.648729,2.870058
14,12,22.933545,21.85649,2.803309
14,13,24.055845,21.570083,2.818381
14,14,23.323797,21.668883,3.141264
14,15,24.011916,21.576417,3.079454
14,16,24.521955,21.536286,3.271995
14,17,25.287354,21.678578,3.107517
14,18,25.33275,22.338215,2.985476
14,19,25.111843,21.827714,2.934492
14,20,24.809884,20.837417,3.230271
14,21,24.531147,20.176107,3.324697
14,22,24.632748,19.873634,2.803184
14,23,24.7032,20.474739,3.008954
14,24,24.629593,21.193187,2.857222
14,25,24.87926,22.104404,3.008412
14,26,24.295812,22.038826,2.747171
14,27,24.530324,22.140088,2.567495
14,28,25.268171,22.770445,3.195524
14,29,,,
14,30,24.09958,22.595369,3.214292
14,31,23.208789,21.182482,3.189845
14,32,22.819322,20.786111,3.089493
14,33,24.56827,21.187181,2.656368
14,34,26.025031,21.522969,3.290578
14,35,25.828151,22.502781,2.893255
14,36,26.498329,22.871701,2.929145
14,37,26.106928,23.241976,3.138297
14,38,25.720455,23.156083,3.282012
14,39,24.634689,23.47097,3.377399
14,40,24.641837,22.285889,2.770164
15,1,22.180967,18.715703,1.825534
15,2,22.560369,19.203055,2.553782
15,3,23.235037,17.624316,1.87797
15,4,,,
15,5,22.126164,17.330507,2.714553
15,6,22.84817,18.721242,1.515676
15,7,23.278129,16.906915,1.244392
15,8,23.062844,17.270624,1.926258
15,9,22.033777,17.328574,1.227495
15,10,22.603298,17.700005,1.457665
15,11,22.17819,17.516825,2.113218
15,12,23.05455,18.444988,1.745327
